X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0450060323721,38.8963119812627,20th & E St NW,classic,08247aa4-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:24+00,12,1,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.8963,-77.045,2023/04/19 22:02:42+00,101086873
-77.3534210149589,38.9600878463549,Temporary Rd & Old Reston Ave,classic,08263d19-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:20+00,15,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",104,"Fairfax, VA",,38.960084,-77.353414,2023/04/19 22:02:42+00,101086874
-76.9131858603952,38.8885321827324,Capitol Heights Metro,classic,3dc3100e-7a4c-4d34-8b92-e820f1bd46a0,active,2023/04/19 22:01:20+00,12,0,7,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",133,Prince George's County,,38.888524,-76.913188,2023/04/19 22:02:42+00,101086875
-77.0977419566509,38.8858120221162,Fairfax Dr & Wilson Blvd,classic,08251ded-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:20+00,9,0,3,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.885801,-77.097745,2023/04/19 22:02:42+00,101086876
-77.0907970040445,38.8808179703461,Washington Blvd & 7th St N,classic,08252645-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:02:06+00,9,0,3,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.88081,-77.090792,2023/04/19 22:02:42+00,101086877
-77.0845978821829,38.8917047556336,Wilson Blvd & N Uhle St,classic,0824ee0d-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:23+00,15,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,"Arlington, VA",,38.891696,-77.0846,2023/04/19 22:02:42+00,101086878
-77.0820860135494,38.8925623436231,Wilson Blvd & N Troy St,classic,d39e9b29-0ba7-453f-9f1e-b0a856d448b7,active,2023/04/19 22:01:22+00,14,0,1,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,"Arlington, VA",,38.892556,-77.082089,2023/04/19 22:02:42+00,101086879
-76.9452891385607,38.8703636825384,41st St & Alabama Ave SE / Fort Davis Rec,classic,0099b016-32c9-4536-ac4c-dcc1a117bd95,active,2023/04/19 22:01:30+00,13,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.870353,-76.945283,2023/04/19 22:02:42+00,101086880
-77.1145596220161,38.879481852662,Wilson Blvd & N Vermont St,classic,72c402d9-63d9-4025-95a9-1577a34e5f52,active,2023/04/19 22:01:30+00,9,0,3,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.879477,-77.114563,2023/04/19 22:02:42+00,101086881
-77.1099381916336,38.8121931754933,Duke St & Jordan St,classic,a44778cc-274f-49d5-80dc-6e031113a7e3,active,2023/04/19 22:01:23+00,5,0,11,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,16,"KEY,CREDITCARD",40,"Alexandria, VA",,38.812187,-77.10994,2023/04/19 22:02:42+00,101086882
