wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info
178.0,54.6,54.6,9.9,5.8,2022-01-01T00:00:00-05:00,,,99.8,54.6,1640995200000,0.0,,,,1011.2,,52.6,93.17,,,Overcast,,
188.0,55.1,55.1,4.4,5.9,2022-01-01T01:00:00-05:00,,,100.0,55.1,1640998800000,0.0,,Mist,,1010.9,,52.3,90.31,,,Overcast,,
170.0,54.1,54.1,6.5,8.1,2022-01-01T02:00:00-05:00,0.0,,100.0,54.1,1641002400000,0.0,5.0,Mist,,1010.8,,52.4,93.78,,,Overcast,,
186.0,56.0,56.0,6.5,5.9,2022-01-01T03:00:00-05:00,0.0,,100.0,56.0,1641006000000,0.0,11.0,Mist,,1010.8,,53.3,90.6,,,Overcast,,
182.0,56.1,56.1,6.6,6.8,2022-01-01T04:00:00-05:00,,,100.0,56.1,1641009600000,0.0,,Mist,,1010.2,,53.4,90.65,,,Overcast,,
186.0,55.2,55.2,4.4,6.7,2022-01-01T05:00:00-05:00,,,100.0,55.2,1641013200000,0.0,,"Mist, Fog",,1009.7,,53.3,93.31,,,Overcast,,
195.0,56.9,56.9,5.5,5.9,2022-01-01T06:00:00-05:00,,,100.0,56.9,1641016800000,0.0,,Mist,,1009.7,,54.2,90.67,,,Overcast,,
195.0,56.9,56.9,5.4,4.7,2022-01-01T07:00:00-05:00,,,100.0,56.9,1641020400000,0.01,,"Mist, Light Drizzle, Light Rain",,1010.1,,54.2,90.66,,,"Rain, Overcast",,
189.0,56.0,56.0,3.7,7.2,2022-01-01T08:00:00-05:00,0.0,,99.6,56.0,1641024000000,0.03,5.0,"Mist, Light Rain",,1010.5,,54.0,92.92,,,"Rain, Overcast",,
192.0,56.0,56.0,2.3,5.5,2022-01-01T09:00:00-05:00,0.0,,100.0,56.0,1641027600000,0.06,8.0,"Mist, Light Rain",,1010.6,,54.2,93.4,,,"Rain, Overcast",,
142.0,57.7,57.7,2.5,3.3,2022-01-01T10:00:00-05:00,0.1,,100.0,57.7,1641031200000,0.06,19.0,"Mist, Rain, Heavy Rain, Light Rain",,1010.4,,56.1,94.23,,,"Rain, Overcast",,
236.0,58.9,58.9,2.3,3.4,2022-01-01T11:00:00-05:00,0.1,,100.0,58.9,1641034800000,0.11,28.0,"Mist, Rain, Heavy Rain, Light Rain",,1009.6,,56.2,90.77,,,"Rain, Overcast",,
0.0,57.9,57.9,2.0,0.0,2022-01-01T12:00:00-05:00,0.1,,100.0,57.9,1641038400000,0.08,41.0,"Mist, Light Rain",,1008.1,,56.3,94.22,,,"Rain, Overcast",,
0.0,59.0,59.0,2.7,0.0,2022-01-01T13:00:00-05:00,0.1,,100.0,59.0,1641042000000,0.01,39.0,"Mist, Light Drizzle, Light Rain",,1006.7,,57.2,93.45,,,"Rain, Overcast",,
18.0,61.1,61.1,6.6,0.3,2022-01-01T14:00:00-05:00,0.1,,100.0,61.1,1641045600000,0.0,39.0,Mist,,1005.9,,59.2,93.43,,,Overcast,,
47.0,60.3,60.3,6.6,3.2,2022-01-01T15:00:00-05:00,0.1,,99.2,60.3,1641049200000,0.0,20.0,Mist,,1005.4,,58.1,92.63,,,Overcast,,
